Name	Protein
Niben261Chr01g0491003.1	TCArel_427
Niben261Chr05g0879001.1	TCArel_429
Niben261Chr01g1121002.1	TCArel_431
Niben261Chr02g1085005.1	TCArel_433
Niben261Chr13g0251008.1	TCArel_434
Niben261Chr06g0265008.1	TCArel_435
Niben261Chr19g1289011.1	TCArel_436
Niben261Chr01g1358002.1	TCArel_437
Niben261Chr12g0187021.1	TCArel_438
Niben261Chr11g1165001.1	TCArel_439
Niben261Chr08g1189007.1	TCArel_440
Niben261Chr12g0352001.1	TCArel_441
Niben261Chr16g0863001.1	TCArel_442
Niben261Chr03g0411006.1	TCArel_443
Niben261Chr09g1144014.1	TCArel_444
Niben261Chr04g1554012.1	TCArel_445
Niben261Chr05g0540008.1	TCArel_446
Niben261Chr11g1422005.1	TCArel_447
Niben261Chr08g1106003.1	TCArel_448
Niben261Chr14g0856012.1	TCArel_449
Niben261Chr14g0856013.1	TCArel_450
Niben261Chr08g1106004.1	TCArel_451
Niben261Chr04g0456001.1	TCArel_452
Niben261Chr17g0910001.1	TCArel_453
Niben261Chr13g0263006.1	TCArel_454
Niben261Chr09g1029014.1	TCArel_455
Niben261Chr14g1320007.1	TCArel_456
Niben261Chr10g0267004.1	TCArel_457
Niben261Chr09g1135008.1	TCArel_458
Niben261Chr10g0384006.1	TCArel_459
Niben261Chr19g1127010.1	TCArel_461
Niben261Chr06g0169007.1	TCArel_462
Niben261Chr15g0683007.1	TCArel_463
Niben261Chr14g0611007.1	TCArel_464
Niben261Chr12g1479003.1	TCArel_465
Niben261Chr05g1091011.1	TCArel_466
Niben261Chr09g0664007.1	TCArel_467
Niben261Chr07g0009017.1	TCArel_468
Niben261Chr15g0806005.1	TCArel_469
Niben261Chr15g0316011.1	TCArel_470
Niben261Chr02g0825014.1	TCArel_477
Niben261Chr02g0982012.1	TCArel_478
Niben261Chr05g0002001.1	TCArel_479
Niben261Chr04g0720012.1	TCArel_481
Niben261Chr18g1266006.1	TCArel_482
Niben261Chr14g0325027.1	TCArel_483
Niben261Chr06g0962008.1	TCArel_485
